Name,Ratings,Review
Janet,2.0 out of 5 stars,"Very disappointed with this mew Kindle. Screen is not consistently responsive to swipes which is how you turn pages. Downloading my library - about 120 books drained the battery anout 75% and had took a long time. When I set to “recent” it displays books from the oldest first. Scrolling thru the library is tedious. Sometimes the page turns and other times I have to reswipe and it jumps two pages. I loved my first Kindle from probably 10 yr ago bit the battery has stopped holding charge for long. The Kindle Fire is nice though like an iPad is next to impossible to read outdoors due to the reflection on the screen, and it is quite heavy. No hesitation with page turning woth either of the older models. I had troed to order the 7th generation but 10 days after ordering received notice it wasn’t available and didn’t know when it would be. I ordered this one instead and am sending it back. I did email customer support about the slow screen reaction and was told that it was not supposed to be that way and they would talk or chat through troubleshooting to see if it could be fixed. After reading the reviews I see that I am not the only one with the same complaint about poor screen reaction to swipes. Had hoped to have the mew reader to take on vacation but am returning it instead and will reconsider buying another Kimdle when a better option is available. I have had good luck with 2 older kindles - this one not up to par."
Teotwawki Johnny,5.0 out of 5 stars,"4.75 stars would be more accurate.

No e-Ink reader is a speed daemon, so don't expect the latest paperwhite to be one either. That said, it does everything you really need it to do. (I haven't bothered with the experimental browser.)

The text (an images) are plenty crisp, the Bluetooth range is above average, the Wi-Fi range is fine. Kindle and Audible store access works as you would expect it.

The owner's manual doesn't state it, but in All Settings >> Accessibility >> Invert Black and White, you can in fact switch Black and White, for a negative page. Bear in mind that it can make images a bit weird, but for night reading (where I kick up the font size one number) it makes things easier on the eyes.

For Text To Speech (TTS) you need to activate the VoiceView Screen Reader, go through the tutorial, and learn the command gestures, because the regular command gestures DON'T WORK in VoiceView mode. It is designed for blind people, to get good use out of a Kindle reader. I get it that Amazon wants for us Vision-Unchallenged customers to spring for Audible recordings, on top of the actual book. Well, like most folks, I can't afford to buy a whole pile of books (figuratively) along with the audible recordings at 5 times the cost. I get the fact that audio books cost a heck of a lot more to produce. I buy Audible recordings for the books I like the most. The Aubrey-Maturin novels (Patrick o'Brian) narrated by Simon Vance are absolutely delicious. But what gets me is that my Kindle Fire can do TTS easily, without activating VoiceView, while my Kindle Paperwhite can't. The Paperwhite costs more than the Fire, but is less capable. Go figure. It wouldn't be difficult to easily implement on the Paperwhite.

It does not appear to be able to create Collections for audiobooks.

Anyway, the latest Kindle Paperwhite is worth the money, even the 32GB version I own. Big enough that I can download every Kindle book I own, 10 Kindle Unlimited titles and a bunch of Audible books with plenty of room left over. I never want to have to pick and choose which of my books I can carry with me. You never know when you might get sucked into an alternate universe with only your Kindle and a solar charger."
Jan,2.0 out of 5 stars,"This product looks like a reject from the 1990's. For a product called Paperwhite, I have yet to achieve a white page... this thing is so dim! I have the brightness all the way up and it looks like an old, yellowed book page. I also was led to believe it would be considerably lighter in weight than my Fire 8 HD... nope... they feel nearly identical to me. I am.visually impaired and thought this would be SO good for me because of the non-glare screen, supposedly better/crisper text, etc... but it still has a glare, the text looks like an old digital watch from the 80's and I cannot get it bright enough. Sadly, I am.bed/wheelchair/house bound, so I have no way to box it up and return it. Basically I have just dropped over $100 on a paper weight. Hey... maybe that's what they should have named it?!

I have added a photo to compare the brightness difference... the Paperwhite is on the left and the Fire HD 8 is on the right.
I think the only good place to use the Paperwhite might be if you're outdoors during the day? I am unable to go outdoors, so I cannot confirm that."
Kindle Customer,4.0 out of 5 stars,"I've had a kindle since the very first one. In all cases, each newer generation has definitely improved on those before. For me, the best kindle is the Voyage and this new Paperwhite takes a lot of what made that great and incorporated it into the 'value for money' design of the Paperwhite.

I like that the screen is flush with the bezel. The whole device is light and well sized. The lighting works fine; it's perhaps a bit more yellow than either Voyage I own but you really only notice that when you put the devices in direct proximity to each other. The lighting is very even and screen clarity is great,. Won't say its BETTER than the Voyage, which remains my favorite kindle ever, but for the price, it's absolutely a great choice.

Purchase of the device includes 6 months of Kindle Unlimited (KU). Haven't decided yet whether to turn that on (I'd had a subscription once before) as I most of my reading lately is library book borrows, which works great once you get your local library card and eBook account. You can't really borrow from the library via the Kindle, but it's easy to return the books you've finished. KU is definitely worth trying if you haven't before. Most titles in the program are independently published titles and there are definitely some gems. For me, I felt like there was a lot of mediocrity as well, but the good thing is, if a book doesn't appeal, you can just send it back and pick something else."
Salt Mountain,4.0 out of 5 stars,"1. I bought two, which somehow means I like/need this product, but there is another reason. It does not support overseas kindle shop! US amazon does not have a lot Chinese books, so I have to use one for my Chinese amazon kindle shop and another for my US amazon kindle shop. Of course you can switch between accounts on one device, but then you will need to re-download everything again when you switch back. I think in the future this problem will still exist......

2. I’ve been using iPad and smart phone for too long that I really don’t like the delay of kindle’s touch screen. Honestly it does not take more than 1 second to refresh pages, but it still feels slow.

3. I hope the LED light color could be warmer. Because it’s so blue, I’d rather not use it.

4. I really complained a lot...... but I rarely give low scores on things I bought. Maybe reading is just a very devoted activity. Any annoying problem can easily makes one feel unsatisfied.

5. Thinking about what I got from kindle, this is still a very nice product. I’ve owned different models. I bought paperwhite because it’s waterproof, so that I can read in my bathtub. It has done a good job."
dlg,2.0 out of 5 stars,"Not what I thought it would be like. Very disappointed with it. I had a Kindle Fire for at least 10
years. That was great compared to the new Kindle Paperwhite. The old one had a larger screen for
reading, the books were in color, books were on a carousel that you just went through with your finger
to find a book. Books could be removed from carousel after reading and sent to the cloud. The books were also listed on the ""device"" or ""cloud"" for quick reference. Also showed what books were read. The new Kindle is in black and white. To find a book it shows about 5 books per page, none are marked read. You have to do it.
I still didn't go through the books to mark what I have read. Below the books I have, the page has books I might be interested in. Just more clutter for the screen. Just to be honest I hate it! If I can find a place to replace my
battery in my old Kindle I will change back to that one. The new Kindle Fire was just a bad as this one."
Anthony,5.0 out of 5 stars,"I have had 2 nooks. First, was to be different. Second was because of the adjustable orange backlight for night reading. Finally grabbed this one on sale. I prefer buying ebooks on amazon much more than their competitors. Mainly due to price and sales, and also to centralize my content. I do a lot on amazon probably like most people who are reading this review. The page turning and refresh speed is slightly faster than nook. I was angry when I upgraded a glowlight plus to the glowlight 3 only to find I paid 100 dollars for the same exact internals, no upgrades other than page turn buttons and an orange light.
I have no experience with previous generations of the kindle, other than the old fire tablet and the newer fire hd 8.
So far I love the kindle. The bluetooth connection for audible is great. Be wary though, if you like to read along, you will need a fire. This seems to be either listen to the audio and look at the audio page, or read silently.
I haven’t done anything with it being waterproof. It’s really useless to me since i don’t read in the shower, pool, or rain. But it still feels nice to know that if water hits it, I don’t have to worry."
Daniel S,5.0 out of 5 stars,"This is my 3rd kindle over the years, and it's absolutely the best one yet! My last device was the 1st gen paperwhite. This new paperwhite improves on everything about the original. My biggest complaint about the OG, was the uneven light in the display. It could be really distracting when reading. That issue is gone now. I find it to be very evenly distributed across the display. The higher resolution 300dpi display is also a nice improvement.

It weighs less, it's thinner, and there's no edges on the bezels.

While I've only had it for a couple weeks, I can't comment on battery life in comparison, but that's never been an issue for me. Aside from vacations/trips, my normal usage is about an hour a night in bed. I usually get about a month of battery. I haven't looked at the battery remaining yet, but I'm assuming I'll see similar life with this one. I'm not sure what people are doing with theirs that complain about poor battery life, as this does not appear to be an issue with what I would consider pretty average usage.

I also read several reviews stating that it's more uncomfortable to hold due to the button on the bottom. I haven't found this to be true. In fact, my 1st gen was much worse. I always have my kindle's in the amazon leather cases (I got the waterproof fabric one this time), and on the 1st gen, it had a somewhat sharp cutout there that was the natural resting spot on my fingers. The new one is a much smoother transition.

If I had any complaints, they'd be two minor things. First, It took me forever to find the screen brightness settings. In the old one you just tap the top of the display and hit a lightbulb and the slider appears. Now it's buried under a subsetting, that's only visible while in a book. Second, due to the lack of edge on the bezel (which is a good thing!), I sometimes flip the page while holding the edge with my thumbs, if I'm not paying attention to the placement."
Mimi N,3.0 out of 5 stars,"My first Kindle was incredibly hard to get used to. I had it replaced within the first month. When I would turn pages, especially to new chapters, it would ""blink"" so significantly it was very distracting to me. I almost returned it altogether to go back to the Fire.

Now that I have the new one it's not as significant. It's still there, but not nearly as bad.

I appreciate the size of it as it's more portable than anything else I've ever had.

I'm still getting used to it. I wish when I added a bookmark or removed a bookmark it was only one step instead of three. I like it much better on my Fire and the app on other devices. Touch it once and boom, you're bookmarked or removed a bookmark.

Navigating the settings takes since getting used to. I feel like it's more complicated than it should be, but once I've learned the path to what I need then I'm set.

There could definitely be improvements, but I find it ok overall."
RDS,5.0 out of 5 stars,"I love this! I love reading and prefer ebooks and am so glad I purchased this. I have been currently reading my books on my iPhone and after a while the screen would make my eyes tired as I tend to read for a couple hours at a time. I decided to get the paperwhite since it has backlight for reading at night and this thing is perfect! It’s not too small but not so big that it’s bulky either. Lightweight and very easy to navigate. It comes with the charging cable but not the wall block itself, but I have plenty of extras lying around. The Bluetooth is awesome for audiobooks for road trips and for while I’m cooking. I purchased the 32gb to make sure I have plenty of storage since there isn’t an sd card slot. That would have been a nice little feature but 32gb is still good. The battery life is great & you can adjust the text size, brightness of the screen & etc. It came with 1 day shipping & I purchased through amazon’s website and got 3 months free of kindle unlimited. I highly recommend this if you are an avid read and/or lover of audiobooks."
andrewstrauss,4.0 out of 5 stars,"Works very well. Like the bezel-less design, water proofing, and battery life. Only thing it is missing is orange light. Also, I wish the power button was on the top so I wouldn't hit it while holding it."
Debra Z. Seemel,1.0 out of 5 stars,"I used my previous Kindle Paperwhite to store and read books, that part works fine. I also, about half or more, used my Kindle to store and use games and tools like Notepad Plus, Every Word Crossing, Sudoku, Chess, Checkers Calculator Plus, Word Search, Jigsaw Words, Mahjong, etc. None of those Apps worked on my new Kindle. I had traded in my old Kindle, so I had to find another Kindle of that vintage, on Ebay, so that I could use all my other Apps, besides reading books. Very disappointed!"
Dragonfly,4.0 out of 5 stars,"I got this during the 1 day MLK sale at $40 off the regular price. In the past, I have only had Kindle Fires: 7"" HDX and the 6"". I wanted a super light weight Ereader that I could read in bright sunlight. The PaperWhite is a mear 6 oz. Add in a Fintie Cool Jade cover and it is only 10 oz total. It is much slower than the HDX. It takes a few seconds to ""wake up"" after opening the cover. The entire interface is different than on the HDX or the Kindle ap on my IPad Pro. It will just take some getting used to. I really wanted the Kindle Oasis but couldn't bring myself to spend 2x the amount for buttons to flip the pages and an extra inch of screen space (7"" as opposed to 6"")

It is good for what it does: Lets you read your books in just about any lighting situation. No email, texting, FB, phone calls or Candy Crush. Just clear crisp text on your Ebooks. At 300ppi you can't go wrong. The adds? Personally, I like them. Good book suggestions. No game suggestions since it doesn't support games. I only keep two books loaded on PaperWhite: My current book and my ""on deck"" book. This is my secondary device that only goes to work with me or when I'm traveling. Four solid stars on the Kindle PaperWhite. 🌟🌟🌟🌟

Update: 2-26-19. I've had this for several weeks now. I'm really enjoying it. I love the fact that it is so light and adds very little extra weight to my purse. The cover keeps the screen protected and works to wake/sleep the device. I get many compliments on the Cool Jade cover. I've gotten used to the fact it is NOT a tablet but an E-Reader. I still would have liked the Kindle Oasis but I love the $170 savings. $249.99 vs $89.99 on the MLK day sale. More money to buy books. I'm upping my rating to 4 1/2 stars.

Update: 4-9-19. Two minor annoyances: The PaperWhite doesn't really sync with my other devices. If I read on my Kindle ap for IPhone or on my HDX the PaperWhite doesn't seem to know I've read on another device. (My Kindle ap and HDX always sync). Also the ads are non specific. I open my PaperWhite and the screen has a picture telling me the Kindle library has over 80,000 books. This happens about 80% of the time. My HDX always has relevant suggestions based on my reading habits. If you have ads, make them worth my time to look at. I still love reading outside and my 4.5 Star rating remains in place."
Mrs. Smith,5.0 out of 5 stars,"I am so excited to have this kindle. First, I never had any reader before. I am a person who barely reads, but have tons of audio books. I prefer to listen. I was thinking about getting kindle a couple years ago, but after going through specifications I was bummed to see it lacks audio books support. I was waiting on when Amazon integrates Audible and maybe mp3 support. While mp3 still not there, audible was added! If you have Amazon prime and audible user and you love to read, or like me hoping to start one day, this is great device to own. Before I tried to read on my tablets or phones, but there is always some distraction, you just switch to other ""interesting"" stuff in your device. Kindle is perfect from this point of view, even ""experimental browser"" pretty annoying to use, so you just read. You open the cover and here is the last page you read. And you keep reading. Not like on the phone. Some complain about power button located on the button. I have not had problem with that. I never had accidental button press.

My pros:
It is light
It is simple (no distractions)
Great display for reading
It has audible support (all my books in one place)

My cons:
I wish, that you could listen audio book on background and read at the same time. It is good when audio file has study book.
I wish it supported more book formats, but I guess Amazon wants that you get book only from them, which is understandable.

You can add and add features, but it will add weight and make device more complicated and battery hungry. So I love Kindle as it is - light and simple. For a week that I have it I read a 2 books and started another 2. It is almost how much I read in my lifetime :)))"
Mike B,5.0 out of 5 stars,"I finally decided to use Amazon's Kindle trade-in program to trade-in my 2nd generation dinosaur Kindle for some newer tech. While my old Kindle still did work and had been a workhorse for years, the battery was not what it was, it was heavier, and the lack of back-lit light for nighttime reading was overdue for an upgrade.

This Kindle is very lightweight compared to my old Kindle, even with a case (Moko, Origami Slim Shell), which I purchased as an accessory item. It is almost as light as my Galaxy S8+. The touch screen works well, which is another feature I did not have previously. I can say my only complaint here is there is little room on the sides of the case to rest your thumbs when holding the device, which sometimes causes a page turn accidentally while reading. This normally happens when reading in bed, but it's not a huge issue.

The display is easy to read and I really like the paperwhite design of the display. Also, I very much like the device is backlit with a good range on adjusting the brightness as needed. I don't generally read outside much, so, for now, I have not encountered any issues.

I have had the device about a month and have not needed to charge it since my first charging. I usually keep it on airplane mode and the battery is going strong. Very happy with that.

The one complaint I have had with this device - and it is not the device itself, but with Amazon - the charging cable (micro-USB) lacks a power adapter enabling you to charge the device from an outlet. This was not the case with my 2nd generation Kindle as it came with the full cable and power adapter.

Then, Amazon conveniently recommends you purchase said adapter as ""official OEM"" adapter for Kindle devices for the whopping price of $19.99. This is a complete rip-off, in my opinion. The adapter should come with the device, but if you are going to sell it separately, you do not need to over-charge for it by this ridiculous amount. You can find another generic adapter for a reasonable price. Just be sure to make sure it matches the specs required for charging the device. Booo - bad form Amazon!

Even with the ""missing"" adapter, I am happy with the product and the value and price paid. I also very much recommend taking advantage of the trade-in program Amazone offers if you can. I was able to get a $5 credit for my old Kindle and 25% off toward future Kindle product. I also pulled the trigger on this sale during Prime Days so the device was further discounted. This was a great time to upgrade and save money."
Francis Roe,5.0 out of 5 stars,"I purchased this as a Christmas gift from my wife. When I bought it Amazon was having a great sale. She absolutely loves it and is reading more books now than ever. I like everything about it especially the fact that it’s waterproof. Not having any experience in the past with the readers or kindles I was a little reluctant to purchase the Kindle with the least amount of storage however now that she has over 10 books loaded on it and looking at the amount of storage they take up, I have no doubt the smallest storage Kindle will be all she will ever need. It does sometimes seem a little glitchy and when changing from your book to the home screen the backlighting flickers from all black with white writing to all white with black writing and I find that to be annoying. We did a lot of research prior to buying a Kindle and one of the contributing factors to why we purchased the Kindle was so my wife could carry it in her purse easier than a book but also because the Kindle books appeared to be cheaper. However it seems after setting up and purchasing the first few books it’s almost always cheaper to buy the hardcover book then to purchase it as an e-book... I don’t understand how that could be possible?"
Bigtimereadingnerd,4.0 out of 5 stars,"If this is your first paperwhite, it's GREAT. But, the paperwhite I currently have is great and in white.:) Therefore, I returned this one. I did give it a good try. Really thought I would be upgrading, Honestly, it's basically the same and I don't need all the space for audiobooks, though that's a plus if you like audio. Also, the new paperwhite is easy to put finger smudges on the device. Guess that goes with being waterproof. But again, if you don't have one already, you will not be unhappy. The logo is offset from the black color on the new device but, as for me, it doesn't draw my attention away from reading. I do love the flatness to the bezel. As a person with pets, I didn't get various doggie hairs stuck by the edge of the screen. Also, my charging cord fit perfectly."
Kristine Rita,5.0 out of 5 stars,"LOOOOOVE this Kindle. And that is coming for an avid ""book only"" human. I went back and forth for awhile before buying this and I'm so happy I did. Tie this in with the new Kindle book subscription, and I'm hooked. I have had a chance to read a lot of new books and bring this to work and while running errands, without the added weight of a regular book.

The battery life is unreal and still shocks me every time I open it up. The touch screen reads my finger very easily and I have no issues with changing the pages. The built in light is also a great addition. You are able to adjust the brightness to fit your needs and it does not hurt my eyes at night in low lighting."
Carol F.,5.0 out of 5 stars,"My 4th Kindle and at least my 2nd paperwhite. This one is smaller and lighter ( I think my last was at least 5-6 years old) . Except for work I am never without my Kindle. Like the idea that the current version is waterproof since I read a lot at the pool in summer. I paid the extra $10 or so for add free ( special offer) reading. Suggest ordering the bundle with the leather cover and the plug ( 5W USB power adapter) for fast charging . Then everything works and is protected and you save some money.
My old Kindle screen was starting to get a little scruffy plus the old kindle was having trouble holding a charge but the new cord and power adapter from the new kindle seems to have brought the old one back to life. So now I have 2 working ones and never have to worry that one is not charged or that when my family gets together at the lake that someone forgot their book or reading device and needs something to read. There was no problem with all of my old books being available on both the new and old Kindle seamlessly and simultaneously. Also like the audible feature for my grandkids although not sure I will use."
Terril Retter,4.0 out of 5 stars,"The Paperwhite is mostly an upgrade from my earlier Kindle but there some things that are not as good. It is going to take awhile to get used to the smaller size and weight. I have the feeling that I am going to drop it frequently or leave it behind somewhere because it is so much lighter. The look and feel of the content organization will take some time to get used to. With the Kindle, I know which books I have loade and in what sequence. This is not as obvious on the PW. The home page organization on the Kindle seems to be more robust and more intuitive. Games, Apps, Music and Videos have their own sections on the Kindle and, so far, I am not sure if all these features are even there on the PW. The clearness of the screen is much better in the KW which is plus for mixed light situations.

I will be getting a cover for my new PW which I hope will resolve some the feel issues and some ot the others will probable be resolve with more use pf the new reader."
Christopher,5.0 out of 5 stars,"First time Kindle Paperwhite owner here. Maybe I’m in the honeymoon phase here, but I think this is a great product. Glad I waited for this one. It’s fast, responsive, stores a very decent amount of books, and even has a dark mode (though under accessibility options it’s “invert colors”) which I’m a HUGE fan of. It’s lightweight and easy to hold; brightness can be increased or decreased signficantly to fit where you are; and it’s form factor is small so it’s very portable; and the charge lasts quite awhile. All-around, it’s a great product. I am very in love with it at this moment."
PK,1.0 out of 5 stars,"For starters, it was touted as having a battery life up to 2 weeks. It lasted a day & 1/2 and took hours to recharge...had to finally leave it plugged in overnight and go back to my previous Paperwhite to read in bed. After a few hours of daytime reading over less than 24 hours past its full charge, it's now down to 31%. Maybe they meant 2 days, not 2 weeks. :-(

Secondly, you have to poke, poke, poke at the screen for it to give up settings, page, time left, etc.

I intend to return it. Should have just stayed with my older one and not fallen prey to the hype."
Ethan,5.0 out of 5 stars,"10th gen? wow that was a lot of iterating..which is a good thing. I bought the new model
w/ special offers. The offers are tailored to my interest it seems, it even suggested me a book
I was interested in that was on the prime reading list (borrow for free)

Awhile ago i started with a much older gen, no waterproofing, or flat display design
(which I really like). Amazon has done well with continuously updating and improving the
style language, and functional enhancements.

This current gen, w/ waterproofing and flat display (previous generations the display was sunk in)
looks and feels better. The software has also come a long way. The home display layout is well organized
with 'Your Library' on top taking up about 65% of the screen, as it should (rather than focusing on ads etc)
20% of screen is suggested reading under 'New and notable in prime reading' which suggests new books to you,
not specifically tailored to your interests, then the ads ad the bottom are about 10% of the space, not really intrusive."
Bearry,4.0 out of 5 stars,"I bought this when my previous Kindle died in the middle of an update and locked up. I was completely satisfied with my previous Kindle and would not have otherwise bought a new one. This one is nice--it has a larger screen since it doesn't have a built in keyboard. The built-in light is great for reading in bed. As others have posted, the power button is in an unfortunate place and is easy to accidentally press, particularly when holding the Kindle with one hand. I would be better place on the top, or be recessed so that it requires intent to activate. It took me a few times to figure out why my Kindle was seemingly randomly turning off. Once nice feature of this Kindle is the ability to create custom profiles with font, font size, spacing etc. For some reason, it doesn't allow you to save the light setting with the profile--that would be a great feature. I have one profile for ""daytime"" with a small font. During the day, I turn the light off to save battery. At night, I have a larger font that is easier to read when I'm getting sleepy. I turn the light on, so that if I awake in the middle of the night, and want to read, all I have to do is turn on the Kindle without needing to turn on the lamp."
SMH,5.0 out of 5 stars,"Use this mainly for reading books, for which it works well. It boots up much faster than a kindle fire. It also starts right where you left off, without having to go through 2 or 3 steps, unlike the fire. Easy to read, and backlight makes it easy to read at night."
Kara,5.0 out of 5 stars,"I upgraded my Kindle for the waterproof features so I can use it in the bath and I'm very pleased. I hated the ridge on my first Kindle, dirt and stuff was always getting stuck on the screen. This Kindle is a great upgrade, goodbye annoying ridge, and hello bluetooth and waterproof! I also love Amazon's trade-in program.

If you're new to Kindle - give it a try. I was a firm believer that ""books are better"" and ""why wouldn't I want the physical copy?"" but after owning a Kindle I can't imagine holding a book and lugging a book around. The Kindle is so easy to travel with, it's light and compact and you don't have to hold the book open... and when you're ready for a new book, it's instantly in your hands. Yes, I do miss having the books on a shelf at home and wish there was some sort of discount/program to get the physical copy at a discounted rate as well (or buy the physical copy and get the kindle copy for a couple dollars), but you can't have it all now, can you?"
Carol R. Harris,3.0 out of 5 stars,"I don’t like the Paperwhite nearly as much as my Kindle keyboard which I finally had to replace after using it for 6 years.

It is not as comfortable to hold, and I can’t read using only one hand like I did previously since there are no side buttons to flip the page. It feels awkward in my hand. Tap screens get dirty too quickly with smudges and smears.

The functions I used daily are now all hidden in menus instead of easily available via a physical button.

This seems like a downgrade to me. Just because something is the newest, greatest, latest thing does not mean it is necessarily the best thing. I work in the tech field and have never been afraid of new technology – but this is a real disappointment to me.

Edit 04/08/2020: Some additional gripes on this Kindle. I wound up replacing this Paperwhite the end of October 2019, as I had to charge it almost daily, it kept rebooting itself, and at the end refused to connect to my wireless network to download content plus had multiple other issues. The new one did okay on those issues, but I find it very annoying that page turns are very inconsistent (sometimes it will go to the next page and sometimes it will go to the previous page), the font setting opens itself with no action on my part and resets my font size, and the reader setting to show the page number and progress percentage turned itself off just a few days ago. I had to go rummaging through menus to find where I could turn it back on.

This Kindle is not Amazon's finest moment. There needs to be some serious troubleshooting done on the hardware and software, and all these issues found and corrected. I have been a Kindle owner since the first one and always loved them, but this one is trying my patience."
Ken Peplowski,1.0 out of 5 stars,"So, I bought the new Paperwhite because my old one is losing its battery power. The new one will not download my newspaper subscriptions even after I cancelled and re-renewed said subscriptions. The 4G doesn't kick in when it's supposed to; and the book covers don't download for display; and the system froze a few times when I tried to download my previously purchased books. I called customer service and was asked to do all the obvious things I'd already tried, so I did all of them again so they would believe me when I said it wasn't working properly. I rebooted, turned the wireless on and off, etc. etc. They then suggested I leave it off for an hour and they'd call back. They didn't, and this device is going straight into the garbage along with the hours I gave up of my life in trying to get it to work properly."
Grace,4.0 out of 5 stars,"I’ve had my kindle paper white for a few months now.
Pros:
Sleek design
Lightweight
Easy to read in just about any light
Plenty of room to store books
Absolutely great when traveling; you can take along hundred of books in this sleek, compact reader.

There are cons (meaning “annoyances”) but I like the Kindle Paperwhite in spite of these annoyances.

Cons:
Finding the books you want to read on your kindle is clunky. That is, you can sort into categories or by title or author or alphabetically, etc. (a very nice feature). But when you scroll through any of these set ups to find something, the pages don’t flip easily and things you do not want at the time keep opening or downloading as you are trying to scroll through to find a specific book. It is too time consuming.

I always like to know the copyright information and the publisher. You would think that would be in the opening pages of the book, but it is not. If I click on “Go To” I don’t get an option to go to copyright information. Before reading a book on my Kindle, I usually go to Amazon and look up this information. It’s quicker than trying to find it on the Kindle.

Usually the bottom of a page tells me location (something meaningless like what percent of the book I have read or some crazy number such as 4221 (???). I know this has to do with how the book is formatted, but it’s annoying. It is worth noting, however, that some e-books do give you actual pages.

The Kindle tells you things such as it will take you 4 more minutes to finish a particular chapter. That’s silly information given that there are dozens of variables related to how long it will really take. And who cares anyway?

There is something wonderful about an actual printed book where you can flip the pages back and forth, flip easily to something you want to reread, etc. if there are any illustrations and/or graphics, Kindle doesn’t always display them well. Reading on a Kindle is a different experience than reading on a printed book. The kindle is great, but it doesn’t delight the way a printed book can.

Having said all this, I would buy the Kindle Paperwhite again without question. It is great for travel, and you can also just throw it in your bag when heading out somewhere. Besides, you never find yourself saying, “I wish I had brought X zbook with me ...” because with the Kindle you have your entire library with you."
Amazon Customer,4.0 out of 5 stars,"I really like the light weight and sleek feel of this Ereader. The E-ink display is pretty cool and allows for a surprisingly long battery life. In order to maximize the battery life, just make sure you run airplane mode and turn off bluetooth unless using. As far as some people's complaints about the power button being on the bottom, just make sure you buy a nice case. You should be doing this anyways just to protect your device. The button then becomes a non-issue.

The only thing that I wish this thing could do is allow you to listen to an audible book at the same time as reading the Ebook. You can either listen to the book or read it, but you can't do both at the same time. The app has this capability for phones/tablets. Seems kind of odd that a device specifically dedicated as an Ereader doesn't support that ability.

Otherwise, I highly recommend buying one if you're looking for a high quality Ereader. The price for the full storage and no adds is a little steep, but I ended up purchasing this on prime day for $50 less than normal. At that price it was a great deal and definitely worth buying."
Grog,1.0 out of 5 stars,"Last Friday, I ordered three books from Amazon. But my Kindle would not download them, the wireless had failed. So I ordered a new Kindle Paperwhite. It works like it is supposed to, I'll give it that. The problem is, it is totally unacceptable and not even as good as my old time first Kindle. The Touch Screen and user interface will drive a monk to loose patience. Searching for my downloaded books, I had to turn pages through 40 pages. This was usually Swipe > Open Book > tap top of screen and hope correct Task bar Opens so that I can close the book > Close Book > Swipe page > Swipe Page >open book you get the picture.
To top it off, the three books that I had just ordered from Amazon, well three out of three are NOT compatible with this device.
I have just received an expensive lesson in Do NOT buy Devices without trying them first. This Kindle is not as advertised, it is garbage. I have de-registered this Kindle after one day. MY daughter doesn't want it, her friend has one and hates it. So it is going to Goodwill or the garbage. Useless and not good looking enough to function as a paper weight, it won't replace the stone I already have."
jt,1.0 out of 5 stars,"I bought this Paperwhite a while ago and have regretted it since. I honestly cannot think of one good factor about it other than it's built well. Other than that...1) too expensive for what it does, 2) ambiant display, even when set at the brightest, is too dull. 3) takes too long to start up, 4) display ""blinks out"" each time it loads another book, 5) despite the advertisement the battery life is no longer than the average Android tablet when ""internet"" connection is active. 6) cannot connect to any site other than Amazon Kindle site & even that is far too slow. 7) cannot download books from any of the hosts of other book downloading sites such as Gutenberg or specialty sites that cater to other interests. For me this would include classics in theological, philosophical or literary sites. 8) you cannot turn the dumb thing off when you are not going to be using it for a while. And, no, turning off the screen doesn't count. I mean turning it off *completely* to *really* save battery life! For what it does Amazon's own 8"" Fire tablet is a far superior choice. And at a better price. As I am on Social Security such things as the price of a purchase are very important, and this was a true waste of money for me. I regret having made this purchase and will stick, rather, to my Amazon Fire 8 HD."
Will,4.0 out of 5 stars,"This paperwhite is now ""Audible"" capable, with bluetooth earbuds/headphones. Everything else about the device is improved. The fonts are a little sharper, memory has been doubled compared to my old one and the body is noticeably thinner. Battery life is still phenomenal. I gave it 4 stars for a design issue. I wish it had buttons for page turning. If you nod off while reading and your finger touches the screen for a bit it can take a while to find your place later."
Wm. Scott Conway,4.0 out of 5 stars,"Okay, here the lists...

What I like...

1. Lighter. It doesn't have the heft the other PW has.
2. Smaller. The whole frame is smaller, and it doesn't sacrifice screen-size.
3. More storage. I could have done with the 8 GB, but my beloved wife got me the 32 GB.
4. As a disclaimer, I do not yet have the dead pixel or USB cable issue others have had.
5. Waterproof. I took my older PW to Hilton Head over the summer but was always worried about getting it close to the water. Not an issue with this model. Jellyfish are still an issue though, but I digress.
6. Bluetooth and Audible integration, although this could be done just as easily with a cell-phone.

What I don't like...

1. Although it has more LED's, my older PW is actually noticeably brighter when they are both set to the same light level (See photo... light set to 12 on both devices... older PW is on the left... the new one is on the right).
2. A little slow touch response, compared to the old PW. And you have to mean it. No soft tapping, but almost like pushing a button. Makes swiping a pain, because half the time it registers as a touch and you end up opening a book or collection when you wanted to swipe to the next page.
3. Battery life... Non-existent... I haven't had time to measure how well the battery is during normal reading, but while I was downloading all my books and setting it up, it killed the battery 3 times in a day. Of course, downloading hundreds of books within a 24 hour period is unusual power drain, and will only need to be done once during initial setup. But still. Maybe Amazon will incorporate something into a software update that manages power consumption better.

Unless you have Audible books, or have so many books that 4 GB is not enough, then moving to this reader is fairly lateral. I don't use Audible, so that is just a thing for me now. But that may change in the future.

If this is your first Kindle, it is still a great device. I wouldn't hesitate to purchase it.

UPDATE: The battery, on standby mode, will barely show any discharge in the course of a week if the device isn't even picked up."
